Instr,IPC,CPI
384821794.000000,0.706007,1.416416,9
384839773.000000,0.704006,1.420442,9
384382772.000000,0.704690,1.419064,9
385905279.000000,0.705837,1.416758,9
385276364.000000,0.705119,1.418200,9
385659030.000000,0.705832,1.416768,9
388305493.000000,0.710433,1.407593,9
386615586.000000,0.705072,1.418295,9
388652456.000000,0.708981,1.410475,9
386372068.000000,0.704086,1.420281,9
386236934.000000,0.705720,1.416992,9
386979546.000000,0.705205,1.418027,9
385743231.000000,0.703408,1.421650,9
385729019.000000,0.702242,1.424010,9
386234403.000000,0.704345,1.419758,9
386728802.000000,0.703655,1.421150,9
386658620.000000,0.704076,1.420302,9
389496677.000000,0.707795,1.412839,9
386389403.000000,0.699322,1.429956,9
385489165.000000,0.697978,1.432711,9
392409593.000000,0.708886,1.410664,9
392175427.000000,0.709075,1.410288,9
390835253.000000,0.704075,1.420303,9
16285163.000000,0.895525,1.116664,14
393132433.000000,0.706370,1.415688,9
394770047.000000,0.708195,1.412041,9
15841224.000000,0.908356,1.100890,14
396142097.000000,0.709797,1.408853,9
395237476.000000,0.709102,1.410234,9
395086585.000000,0.708292,1.411847,9
394947881.000000,0.706495,1.415438,9
395321405.000000,0.706798,1.414832,9
395190646.000000,0.706186,1.416057,9
16945162.000000,0.891359,1.121882,14
15845954.000000,0.897817,1.113813,14
396856846.000000,0.708722,1.410990,9
397311212.000000,0.709106,1.410227,9
395711395.000000,0.705967,1.416496,9
16015300.000000,0.879927,1.136458,14
16016363.000000,0.885446,1.129374,14
395376299.000000,0.704795,1.418853,9
395908153.000000,0.705198,1.418041,9
396002469.000000,0.704516,1.419414,9
396704577.000000,0.706397,1.415634,9
16272819.000000,0.892895,1.119952,14
396388101.000000,0.704497,1.419452,9
396503331.000000,0.703473,1.421519,9
16945771.000000,0.877796,1.139217,14
395765639.000000,0.702783,1.422914,9
396661537.000000,0.704022,1.420410,9
17112429.000000,0.888051,1.126062,14
17113891.000000,0.876509,1.140890,14
397184847.000000,0.704070,1.420314,9
16287328.000000,0.880136,1.136188,14
16487433.000000,0.891915,1.121184,14
16485390.000000,0.890809,1.122574,14
16651118.000000,0.879911,1.136479,14
16649208.000000,0.873599,1.144691,14
16651711.000000,0.887671,1.126543,14
16649881.000000,0.874823,1.143089,14
16652967.000000,0.884633,1.130413,14
16652729.000000,0.876199,1.141294,14
16648766.000000,0.872058,1.146712,14
16651580.000000,0.876621,1.140743,14
16650817.000000,0.879903,1.136489,14
16652699.000000,0.869202,1.150481,14
16486056.000000,0.896523,1.115420,14
16653048.000000,0.871168,1.147885,14
16649564.000000,0.883039,1.132453,14
16649135.000000,0.878191,1.138704,14
16484222.000000,0.897546,1.114149,14
16943991.000000,0.889010,1.124847,14
16950976.000000,0.879872,1.136529,14
16947885.000000,0.882667,1.132929,14
16487734.000000,0.890050,1.123533,14
16942960.000000,0.881937,1.133868,14
16484731.000000,0.894917,1.117422,14
16944478.000000,0.887578,1.126662,14
16649587.000000,0.882302,1.133398,14
16651858.000000,0.876233,1.141249,14
17116627.000000,0.879781,1.136647,14
17115753.000000,0.880408,1.135837,14
16650759.000000,0.878662,1.138093,14
16653311.000000,0.877354,1.139791,14
16943628.000000,0.882130,1.133620,14
17115669.000000,0.880072,1.136271,14
17114847.000000,0.873437,1.144903,14
16006550.000000,0.904433,1.105666,14
17113636.000000,0.884967,1.129986,14
16036084.000000,0.869120,1.150589,14
17116907.000000,0.873016,1.145454,14
16271861.000000,0.889663,1.124021,14
17116862.000000,0.877467,1.139644,14
16651793.000000,0.869760,1.149743,14
16653557.000000,0.874794,1.143126,14
17114785.000000,0.881702,1.134170,14
16649822.000000,0.882059,1.133711,14
16651033.000000,0.865965,1.154781,14
15635636.000000,0.894870,1.117481,14
16275087.000000,0.885712,1.129035,14
16005454.000000,0.892275,1.120731,14
16648465.000000,0.883205,1.132240,14
16650971.000000,0.880335,1.135931,14
16731161.000000,0.881300,1.134687,14
16648975.000000,0.879458,1.137064,14
16007811.000000,0.895653,1.116504,14
16649516.000000,0.874360,1.143693,14
16651917.000000,0.878524,1.138273,14
16007943.000000,0.904644,1.105407,14
16008760.000000,0.886758,1.127704,14
16648612.000000,0.878961,1.137707,14
16653111.000000,0.875887,1.141699,14
17116964.000000,0.877864,1.139128,14
17112580.000000,0.879221,1.137371,14
16734458.000000,0.883115,1.132355,14
16650248.000000,0.871297,1.147714,14
16733989.000000,0.878508,1.138293,14
17116862.000000,0.877358,1.139786,14
16730781.000000,0.883084,1.132395,14
16652747.000000,0.869014,1.150730,14
16649437.000000,0.868806,1.151006,14
16653111.000000,0.866855,1.153595,14
17115607.000000,0.872215,1.146506,14
17113699.000000,0.875942,1.141629,14
16017938.000000,0.884517,1.130561,14
17112943.000000,0.883085,1.132394,14
17114900.000000,0.868043,1.152016,14
17113398.000000,0.883033,1.132461,14
17117025.000000,0.881006,1.135066,14
17113555.000000,0.881971,1.133824,14
17118073.000000,0.877591,1.139482,14
